,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,audio_features,06XQvnJb53SUYmlWIhUXUi,spotify:track:06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,4,怪物
0,0.585,0.91,5,-3.703,0,0.0917,0.0138,0.0,0.19,0.602,92.591,audio_features,5MVjxslIF7mVtYo75Nk445,spotify:track:5MVjxslIF7mVtYo75Nk445,https://api.spotify.com/v1/tracks/5MVjxslIF7mVtYo75Nk445,https://api.spotify.com/v1/audio-analysis/5MVjxslIF7mVtYo75Nk445,221426,4,廻廻奇譚
0,0.561,0.667,8,-8.519,0,0.0652,0.0539,0.0,0.0797,0.383,100.047,audio_features,3CYfCp9XAHc69wtCKTwMaj,spotify:track:3CYfCp9XAHc69wtCKTwMaj,https://api.spotify.com/v1/tracks/3CYfCp9XAHc69wtCKTwMaj,https://api.spotify.com/v1/audio-analysis/3CYfCp9XAHc69wtCKTwMaj,217807,4,0 (zero)
0,0.544,0.979,4,-2.8,0,0.153,0.00336,0.000116,0.0775,0.31,135.001,audio_features,1hFsEbHxsfflhLEPCq5tzk,spotify:track:1hFsEbHxsfflhLEPCq5tzk,https://api.spotify.com/v1/tracks/1hFsEbHxsfflhLEPCq5tzk,https://api.spotify.com/v1/audio-analysis/1hFsEbHxsfflhLEPCq5tzk,238587,4,紅蓮華
0,0.305,0.252,4,-13.541,0,0.0419,0.395,0.0127,0.171,0.127,128.015,audio_features,5dy1QO156l2ct1MVPzc8px,spotify:track:5dy1QO156l2ct1MVPzc8px,https://api.spotify.com/v1/tracks/5dy1QO156l2ct1MVPzc8px,https://api.spotify.com/v1/audio-analysis/5dy1QO156l2ct1MVPzc8px,238412,4,歌よ
0,0.592,0.54,8,-11.249,0,0.0587,0.692,0.00187,0.0965,0.354,111.955,audio_features,5RhWszHMSKzb7KiXk4Ae0M,spotify:track:5RhWszHMSKzb7KiXk4Ae0M,https://api.spotify.com/v1/tracks/5RhWszHMSKzb7KiXk4Ae0M,https://api.spotify.com/v1/audio-analysis/5RhWszHMSKzb7KiXk4Ae0M,252027,4,One Last Kiss
0,0.403,0.723,7,-4.609,1,0.0339,0.0422,7.48e-06,0.374,0.441,75.989,audio_features,2VRcLEvQCMByWBuvM9gaJ2,spotify:track:2VRcLEvQCMByWBuvM9gaJ2,https://api.spotify.com/v1/tracks/2VRcLEvQCMByWBuvM9gaJ2,https://api.spotify.com/v1/audio-analysis/2VRcLEvQCMByWBuvM9gaJ2,194274,4,Oz.
0,0.536,0.966,6,-2.929,0,0.0558,0.121,0.0,0.0477,0.849,152.076,audio_features,2aWtTHMBKdd6NfKT2GMfiK,spotify:track:2aWtTHMBKdd6NfKT2GMfiK,https://api.spotify.com/v1/tracks/2aWtTHMBKdd6NfKT2GMfiK,https://api.spotify.com/v1/audio-analysis/2aWtTHMBKdd6NfKT2GMfiK,217013,4,ブルーバード
0,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.277,0.308,152.04,audio_features,0cSkn2l67csUljEy0EEBPn,spotify:track:0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/tracks/0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/audio-analysis/0cSkn2l67csUljEy0EEBPn,275000,4,炎
0,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,audio_features,7kRKlFCFLAUwt43HWtauhX,spotify:track:7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/tracks/7kRKlFCFLAUwt43HWtauhX,https://api.spotify.com/v1/audio-analysis/7kRKlFCFLAUwt43HWtauhX,327967,4,LOST IN PARADISE
